Date,Open,High,Low,Close,Adj Close,Volume,pos,neg,neu
7/30/2015,527.650024,539.200012,524.289978,536.76001,536.76001,3743100,0,0.333333333,0.666666667
7/31/2015,539.090027,542.840027,534.52002,536.150024,536.150024,3025600,0,0,1
8/3/2015,537.450012,540.440002,529.359985,535.030029,535.030029,3014200,0.333333333,0.333333333,0.333333333
8/4/2015,529.690002,536.950012,529.159973,531.900024,531.900024,2934600,0.333333333,0.333333333,0.333333333
8/5/2015,538.799988,539.140015,534.119995,537.01001,537.01001,2889400,0.333333333,0.333333333,0.333333333
8/6/2015,539.299988,542.73999,527.52002,529.460022,529.460022,3820500,0.333333333,0.333333333,0.333333333
8/7/2015,529.159973,529.460022,518.210022,522.619995,522.619995,3969200,0.333333333,0.333333333,0.333333333
8/10/2015,528.52002,532.280029,523,524,524,2615900,0,0,1
8/11/2015,523.650024,528.97998,522,527.460022,527.460022,2657900,0,0.5,0.5
8/12/2015,523.75,527.5,513.059998,525.909973,525.909973,3962300,0,0,1
8/13/2015,527.369995,534.659973,525.48999,529.659973,529.659973,2895200,0,0,1
8/14/2015,528.25,534.109985,528.25,531.52002,531.52002,1983200,0,0,1
8/17/2015,531.289978,538.73999,527.119995,535.219971,535.219971,2581700,0.230769231,0.153846154,0.615384615
8/18/2015,535.039978,539.48999,533,535.02002,535.02002,2071300,1,0,0
8/19/2015,533.73999,537.25,529,532.919983,532.919983,2324000,0,0.5,0.5
8/20/2015,530.390015,533.25,515.77002,515.780029,515.780029,4408000,0,0,1
8/21/2015,507.359985,512.330017,494.470001,494.470001,494.470001,6706500,0.75,0,0.25
8/24/2015,463.579987,476.579987,451,463.369995,463.369995,10097600,0,0,1
8/25/2015,487.48999,489.440002,466.25,466.369995,466.369995,5679300,0.25,0,0.75
8/26/2015,484.019989,503.720001,478.76001,500.769989,500.769989,6358600,0.2,0,0.8
8/27/2015,513.710022,522.690002,507.26001,518.369995,518.369995,6114500,0.133333333,0.2,0.666666667
8/28/2015,517.5,521.5,513.039978,518.01001,518.01001,2746700,0,0.333333333,0.666666667
8/31/2015,516.440002,519.409973,509.070007,512.890015,512.890015,2983000,0.333333333,0.333333333,0.333333333
9/1/2015,499.140015,510,493.429993,496.540009,496.540009,3864500,0.333333333,0.333333333,0.333333333
9/2/2015,505.089996,510.859985,497.720001,510.549988,510.549988,3707100,0.333333333,0.333333333,0.333333333
9/3/2015,514.5,515.840027,502.570007,504.720001,504.720001,3149700,0.333333333,0.333333333,0.333333333
9/4/2015,497.649994,502.850006,495.640015,499,499,2692500,0.333333333,0.333333333,0.333333333
9/8/2015,508.690002,518.349976,508.51001,517.539978,517.539978,3810700,0.333333333,0.333333333,0.333333333
9/9/2015,524,529.950012,515.059998,516.890015,516.890015,4338700,0.333333333,0.333333333,0.333333333
9/10/2015,515.150024,526.130005,514.780029,522.23999,522.23999,2576000,0,0,1
9/11/2015,521.070007,529.440002,520.609985,529.440002,529.440002,3227900,0,0,1
9/14/2015,529.440002,532.450012,518.580017,521.380005,521.380005,3130200,0,0,1
9/15/2015,523.25,527.919983,517.200012,522.369995,522.369995,2845600,0,0,1
