Date,Open,High,Low,Close,Adj Close,Volume,pos,neg,neu
8/25/2015,614.909973,617.450012,581.109985,582.059998,582.059998,3538000,0,0,1
8/26/2015,610.349976,631.710022,599.049988,628.619995,628.619995,4235900,0.4,0,0.6
8/27/2015,639.400024,643.590027,622,637.609985,637.609985,3491300,0,0,1
8/28/2015,632.820007,636.880005,624.559998,630.380005,630.380005,1978700,0.2,0,0.8
8/31/2015,627.539978,635.799988,617.679993,618.25,618.25,2161200,0,0,1
9/1/2015,602.359985,612.859985,594.099976,597.789978,597.789978,3702100,0.333333333,0.333333333,0.333333333
9/2/2015,605.590027,614.340027,599.710022,614.340027,614.340027,2575600,0.333333333,0.333333333,0.333333333
9/3/2015,617,619.710022,602.820984,606.25,606.25,1759600,0.333333333,0.333333333,0.333333333
9/4/2015,600,603.469971,595.25,600.700012,600.700012,2089000,0.333333333,0.333333333,0.333333333
9/8/2015,612.48999,616.309998,604.119995,614.659973,614.659973,2279500,0.333333333,0.333333333,0.333333333
9/9/2015,621.219971,626.52002,609.599976,612.719971,612.719971,1693900,0.333333333,0.333333333,0.333333333
9/10/2015,613.099976,624.159973,611.429993,621.349976,621.349976,1905300,0,0,1
9/11/2015,619.75,625.780029,617.419983,625.77002,625.77002,1373500,0,0,1
9/14/2015,625.700012,625.859985,619.429993,623.23999,623.23999,1702300,0,0.5,0.5
9/15/2015,626.700012,638.700012,623.780029,635.140015,635.140015,2082100,0,0,1
9/16/2015,635.469971,637.950012,632.320007,635.97998,635.97998,1286500,0.5,0,0.5
9/17/2015,637.789978,650.900024,635.02002,642.900024,642.900024,2274700,0,0,1
9/18/2015,636.789978,640,627.02002,629.25,629.25,5087600,0,0,1
9/21/2015,634.400024,636.48999,625.940002,635.440002,635.440002,1788500,0,0,1
9/22/2015,627,627.549988,615.429993,622.690002,622.690002,2562900,0,0,1
9/23/2015,622.049988,628.929993,620,622.359985,622.359985,1470900,0.5,0,0.5
9/24/2015,616.640015,627.320007,612.400024,625.799988,625.799988,2240100,0.125,0.0625,0.8125
9/25/2015,629.77002,629.77002,611,611.969971,611.969971,2174000,0.5,0,0.5
9/28/2015,610.340027,614.60498,589.380005,594.890015,594.890015,3127700,0.166666667,0.333333333,0.5
9/29/2015,597.280029,605,590.219971,594.969971,594.969971,2309500,0,0.25,0.75
9/30/2015,603.280029,608.76001,600.72998,608.419983,608.419983,2403800,0,0.25,0.75
10/1/2015,608.369995,612.090027,599.849976,611.289978,611.289978,1867600,0.333333333,0.333333333,0.333333333
10/2/2015,607.200012,627.340027,603.130005,626.909973,626.909973,2684800,0.333333333,0.333333333,0.333333333
10/5/2015,632,643.01001,627,641.469971,641.469971,1803600,0.333333333,0.333333333,0.333333333
10/6/2015,638.840027,649.25,636.530029,645.440002,645.440002,2166300,0.333333333,0.333333333,0.333333333
10/7/2015,649.23999,650.609009,632.150024,642.359985,642.359985,2092700,0.333333333,0.333333333,0.333333333
10/8/2015,641.359985,644.450012,625.559998,639.159973,639.159973,2182100,0.333333333,0.333333333,0.333333333
10/9/2015,640,645.98999,635.317993,643.609985,643.609985,1648700,0.333333333,0.333333333,0.333333333
10/12/2015,642.090027,648.5,639.01001,646.669983,646.669983,1275200,0,0,1
10/13/2015,643.150024,657.812012,643.150024,652.299988,652.299988,1807700,0.333333333,0,0.666666667
10/14/2015,653.210022,659.390015,648.849976,651.159973,651.159973,1415500,0.25,0.25,0.5
10/15/2015,654.659973,663.130005,654.460022,661.73999,661.73999,1885700,0.375,0,0.625
10/16/2015,664.109985,664.969971,657.200012,662.200012,662.200012,1611100,0,0,1
10/19/2015,661.179993,666.820007,659.580017,666.099976,666.099976,1477300,0.2,0.6,0.2
10/20/2015,664.039978,664.719971,644.195007,650.280029,650.280029,2490000,0.333333333,0.333333333,0.333333333
10/21/2015,654.150024,655.869995,641.72998,642.609985,642.609985,1791100,0,0.5,0.5
10/22/2015,646.700012,657.799988,644.01001,651.789978,651.789978,4071000,1,0,0
10/23/2015,727.5,730,701.5,702,702,6653900,0,0.333333333,0.666666667
10/26/2015,701.549988,719.150024,701.26001,712.780029,712.780029,2716600,0,0,1
10/27/2015,707.380005,713.619995,704.549988,708.48999,708.48999,2245800,0,0,1
10/28/2015,707.330017,712.97998,703.080017,712.950012,712.950012,2178900,0,0.2,0.8
10/29/2015,710.5,718.26001,710.01001,716.919983,716.919983,1454100,1,0,0
10/30/2015,715.72998,718,710.049988,710.809998,710.809998,1908800,0,0,1
11/2/2015,711.059998,721.619995,705.849976,721.109985,721.109985,1886300,0.333333333,0.333333333,0.333333333
11/3/2015,718.859985,724.650024,714.719971,722.159973,722.159973,1565400,0.333333333,0.333333333,0.333333333
11/4/2015,722,733.099976,721.900024,728.109985,728.109985,1704600,0.333333333,0.333333333,0.333333333
11/5/2015,729.469971,739.47998,729.469971,731.25,731.25,1861600,0.333333333,0.333333333,0.333333333
11/6/2015,731.5,735.409973,727.01001,733.76001,733.76001,1511600,0.333333333,0.333333333,0.333333333
11/9/2015,730.200012,734.710022,719.429993,724.890015,724.890015,2069800,0.333333333,0.333333333,0.333333333
11/10/2015,724.400024,730.590027,718.5,728.320007,728.320007,1608000,0,0.2,0.8
11/11/2015,732.460022,741,730.22998,735.400024,735.400024,1366400,0.5,0,0.5
11/12/2015,731,737.799988,728.64502,731.22998,731.22998,1837200,0.333333333,0.333333333,0.333333333
11/13/2015,729.169983,731.150024,716.72998,717,717,2075500,0.285714286,0.285714286,0.428571429
11/16/2015,715.599976,729.48999,711.330017,728.960022,728.960022,1905900,0.5,0,0.5
11/17/2015,729.289978,731.844971,723.026978,725.299988,725.299988,1510900,0,0,1
11/18/2015,727.580017,741.409973,727,740,740,1684300,0.5,0,0.5
11/19/2015,738.73999,742,737.429993,738.409973,738.409973,1327100,0.5,0,0.5
11/20/2015,746.530029,757.919983,743,756.599976,756.599976,2212300,0,0,1
11/23/2015,757.450012,762.708008,751.820007,755.97998,755.97998,1414500,0.333333333,0.333333333,0.333333333
11/24/2015,752,755.278992,737.630005,748.280029,748.280029,2333100,0.333333333,0,0.666666667
11/25/2015,748.140015,752,746.059998,748.150024,748.150024,1122100,0,0,1
11/27/2015,748.460022,753.409973,747.48999,750.26001,750.26001,838500,0.333333333,0.333333333,0.333333333
11/30/2015,748.809998,754.929993,741.27002,742.599976,742.599976,2097600,0,0.5,0.5
12/1/2015,747.109985,768.950012,746.700012,767.039978,767.039978,2134600,0.333333333,0.333333333,0.333333333
