Date,Open,High,Low,Close,Adj Close,Volume,ups and down
7/20/2015,130.970001,132.970001,130.699997,132.070007,123.643814,58900200,2.450012
7/21/2015,132.850006,132.919998,130.320007,130.75,122.408051,76756400,-1.320007
7/22/2015,121.989998,125.5,121.989998,125.220001,117.230843,115450600,-5.529999
7/23/2015,126.199997,127.089996,125.059998,125.160004,117.174683,50999500,-0.059997
7/24/2015,125.32,125.739998,123.900002,124.5,116.55677,42162300,-0.660004
7/27/2015,123.089996,123.610001,122.120003,122.769997,114.937164,44455500,-1.730003
7/28/2015,123.379997,123.910004,122.550003,123.379997,115.50824,33618100,0.61
7/29/2015,123.150002,123.5,122.269997,122.989998,115.143105,37011700,-0.389999
7/30/2015,122.32,122.57,121.709999,122.370003,114.562675,33628300,-0.619995
7/31/2015,122.599998,122.639999,120.910004,121.300003,113.560951,42885000,-1.07
8/3/2015,121.5,122.57,117.519997,118.440002,110.883423,69976000,-2.860001
8/4/2015,117.419998,117.699997,113.25,114.639999,107.325867,124138600,-3.800003
8/5/2015,112.949997,117.440002,112.099998,115.400002,108.037392,99312600,0.760003
8/6/2015,115.970001,116.5,114.120003,115.129997,108.272476,52903000,-0.270005
8/7/2015,114.580002,116.25,114.5,115.519997,108.639252,38670400,0.39
8/10/2015,116.529999,119.989998,116.529999,119.720001,112.589096,54951600,4.200004
8/11/2015,117.809998,118.18,113.330002,113.489998,106.730148,97082800,-6.230003
8/12/2015,112.529999,115.419998,109.629997,115.239998,108.375923,101217500,1.75
8/13/2015,116.040001,116.400002,114.540001,115.150002,108.291283,48535800,-0.089996
8/14/2015,114.32,116.309998,114.010002,115.959999,109.053047,42929500,0.809997
8/17/2015,116.040001,117.650002,115.5,117.160004,110.181572,40884700,1.200005
8/18/2015,116.43,117.440002,116.010002,116.5,109.560883,34560700,-0.660004
8/19/2015,116.099998,116.519997,114.68,115.010002,108.159637,47445700,-1.489998
8/20/2015,114.080002,114.349998,111.629997,112.650002,105.940208,68501600,-2.36
8/21/2015,110.43,111.900002,105.650002,105.760002,99.460594,128275500,-6.89
8/24/2015,94.870003,108.800003,92,103.120003,96.977837,162206300,-2.639999
8/25/2015,111.110001,111.110001,103.5,103.739998,97.560921,103601600,0.619995
8/26/2015,107.089996,109.889999,105.050003,109.690002,103.156509,96774600,5.950004
8/27/2015,112.230003,113.239998,110.019997,112.919998,106.194115,84616100,3.229996
8/28/2015,112.169998,113.309998,111.540001,113.290001,106.542068,53164400,0.370003
8/31/2015,112.029999,114.529999,112,112.760002,106.043655,56229300,-0.529999
9/1/2015,110.150002,111.879997,107.360001,107.720001,101.303864,76845900,-5.040001
9/2/2015,110.230003,112.339996,109.129997,112.339996,105.648659,61888800,4.619995
9/3/2015,112.489998,112.779999,110.040001,110.370003,103.795998,53233900,-1.969993
9/4/2015,108.970001,110.449997,108.510002,109.269997,102.761513,49996300,-1.100006
9/8/2015,111.75,112.559998,110.32,112.309998,105.620468,54843600,3.040001
9/9/2015,113.760002,114.019997,109.769997,110.150002,103.589111,85010800,-2.159996
9/10/2015,110.269997,113.279999,109.900002,112.57,105.864967,62892800,2.419998
9/11/2015,111.790001,114.209999,111.760002,114.209999,107.407288,49915500,1.639999
9/14/2015,116.580002,116.889999,114.860001,115.309998,108.441757,58363400,1.099999
9/15/2015,115.93,116.529999,114.419998,116.279999,109.353989,43341200,0.970001
9/16/2015,116.25,116.540001,115.440002,116.410004,109.476234,37173500,0.130005
9/17/2015,115.660004,116.489998,113.720001,113.919998,107.13456,64112600,-2.490006
9/18/2015,112.209999,114.300003,111.870003,113.449997,106.692566,74285300,-0.470001
9/21/2015,113.669998,115.370003,113.660004,115.209999,108.347717,50222000,1.760002
9/22/2015,113.379997,114.18,112.519997,113.400002,106.645523,50346200,-1.809997
9/23/2015,113.629997,114.720001,113.300003,114.32,107.510735,35756700,0.919998
9/24/2015,113.25,115.5,112.370003,115,108.150215,50219500,0.68
9/25/2015,116.440002,116.690002,114.019997,114.709999,107.877502,56151900,-0.290001
9/28/2015,113.849998,114.57,112.440002,112.440002,105.742714,52109000,-2.269997
9/29/2015,112.830002,113.510002,107.860001,109.059998,102.564018,73365400,-3.380004
9/30/2015,110.169998,111.540001,108.730003,110.300003,103.730179,66473000,1.240005
10/1/2015,109.07,109.620003,107.309998,109.580002,103.053055,63929100,-0.720001
10/2/2015,108.010002,111.010002,107.550003,110.379997,103.80542,58019800,0.799995
10/5/2015,109.879997,111.370003,109.07,110.779999,104.18158,52064700,0.400002
10/6/2015,110.629997,111.739998,109.769997,111.309998,104.68,48196800,0.529999
10/7/2015,111.739998,111.769997,109.410004,110.779999,104.18158,46765600,-0.529999
10/8/2015,110.190002,110.190002,108.209999,109.5,102.977829,61979600,-1.279999
10/9/2015,110,112.279999,109.489998,112.120003,105.441765,52766100,2.620003
10/12/2015,112.730003,112.75,111.440002,111.599998,104.952744,30467200,-0.520005
10/13/2015,110.82,112.449997,110.68,111.790001,105.131416,33049300,0.190003
10/14/2015,111.290001,111.519997,109.559998,110.209999,103.645531,44462400,-1.580002
10/15/2015,110.93,112.099998,110.489998,111.860001,105.19725,37673500,1.650002
10/16/2015,111.779999,112,110.529999,111.040001,104.426094,39232600,-0.82
10/19/2015,110.800003,111.75,110.110001,111.730003,105.075005,29759200,0.690002
10/20/2015,111.339996,114.169998,110.82,113.769997,106.993484,48778800,2.039994
10/21/2015,114,115.580002,113.699997,113.760002,106.984085,41795200,-0.009995
10/22/2015,114.330002,115.5,114.099998,115.5,108.620453,41654100,1.739998
10/23/2015,116.699997,119.230003,116.330002,119.080002,111.987206,59366900,3.580002
10/26/2015,118.080002,118.129997,114.919998,115.279999,108.413551,66333800,-3.800003
10/27/2015,115.400002,116.540001,113.989998,114.550003,107.727036,69884400,-0.729996
10/28/2015,116.93,119.300003,116.059998,119.269997,112.165871,85551400,4.719994
10/29/2015,118.699997,120.690002,118.269997,120.529999,113.350861,51227300,1.260002
10/30/2015,120.989998,121.220001,119.449997,119.5,112.382195,49365300,-1.029999
11/2/2015,120.800003,121.360001,119.610001,121.18,113.96212,32203300,1.68
11/3/2015,120.790001,123.489998,120.699997,122.57,115.269333,45519000,1.39
11/4/2015,123.129997,123.82,121.620003,122,114.733292,44886100,-0.57
