Date,Open,High,Low,Close,Adj Close,Volume,ups and down
6/2/2015,430.070007,433.230011,426.25,430.98999,430.98999,1668900,0.069977
6/3/2015,434.399994,438.390015,432.75,436.589996,436.589996,2727900,5.600006
6/4/2015,434.399994,436.76001,429.26001,430.779999,430.779999,2510800,-5.809997
6/5/2015,429.660004,430.799988,426.5,426.950012,426.950012,1907900,-3.829987
6/8/2015,425.619995,426.799988,421.429993,423.5,423.5,2166900,-3.450012
6/9/2015,422.959991,427.48999,419.140015,425.480011,425.480011,2288700,1.980011
6/10/2015,426.459991,432.200012,425.660004,430.769989,430.769989,2172300,5.289978
6/11/2015,432.290009,438.890015,431.470001,432.970001,432.970001,2922500,2.200012
6/12/2015,431.25,432.359985,428.26001,429.920013,429.920013,2054400,-3.049988
6/15/2015,427.660004,428.049988,422.640015,423.670013,423.670013,2051000,-6.25
6/16/2015,424.149994,427.970001,422.670013,427.26001,427.26001,2296400,3.589997
6/17/2015,428.359985,431.350006,424.75,427.809998,427.809998,2185900,0.549988
6/18/2015,430.299988,439.730011,429.410004,439.390015,439.390015,3378400,11.580017
6/19/2015,440.26001,444.98999,433.23999,434.920013,434.920013,4495100,-4.470002
6/22/2015,437,439.23999,434.179993,436.290009,436.290009,1823600,1.369996
6/23/2015,435.589996,447.040009,433.690002,445.98999,445.98999,3245000,9.699981
6/24/2015,444.970001,446.470001,440.230011,440.839996,440.839996,2620800,-5.149994
6/25/2015,438.070007,443.470001,436.390015,440.100006,440.100006,2237500,-0.73999
6/26/2015,441.76001,443.48999,435.059998,438.100006,438.100006,2624500,-2
6/29/2015,434.980011,437,429,429.859985,429.859985,2753200,-8.240021
6/30/2015,434.200012,435.570007,430.459991,434.089996,434.089996,2596900,4.230011
7/1/2015,439.350006,440,435.579987,437.390015,437.390015,1987100,3.300019
7/2/2015,437,438.200012,433.480011,437.709991,437.709991,1343400,0.319976
7/6/2015,435.230011,439.730011,433.519989,436.040009,436.040009,1903200,-1.669982
7/7/2015,435.679993,437.730011,425.570007,436.720001,436.720001,3454200,0.679992
7/8/2015,434.350006,435.98999,428.829987,429.700012,429.700012,2383100,-7.019989
7/9/2015,434.899994,438.720001,434.149994,434.390015,434.390015,2271400,4.690003
7/10/2015,440.48999,444.720001,439,443.51001,443.51001,2401000,9.119995
7/13/2015,448.290009,457.869995,447.540009,455.570007,455.570007,3956800,12.059997
7/14/2015,462.320007,469.600006,458.160004,465.570007,465.570007,4736200,10
7/15/2015,463.040009,464.700012,460.200012,461.190002,461.190002,2987400,-4.380005
7/16/2015,465.5,475.880005,464.799988,475.480011,475.480011,4095600,14.290009
7/17/2015,477.700012,485.420013,477.25,483.01001,483.01001,4932200,7.529999
7/20/2015,492.570007,493.200012,485.399994,488.100006,488.100006,4752500,5.089996
7/21/2015,487.899994,488.880005,482.549988,488,488,3181800,-0.100006
7/22/2015,485.98999,492.5,484.899994,488.269989,488.269989,3114900,0.269989
7/23/2015,491.660004,491.660004,475.700012,482.179993,482.179993,9374400,-6.089996
7/24/2015,578.98999,580.570007,529.349976,529.419983,529.419983,21909400,47.23999
7/27/2015,527.75,544.950012,526.599976,531.409973,531.409973,7491000,1.98999
7/28/2015,536,536.390015,523.119995,526.030029,526.030029,5273100,-5.379944
7/29/2015,530.919983,532.969971,525.02002,529,529,3752600,2.969971
7/30/2015,527.650024,539.200012,524.289978,536.76001,536.76001,3743100,7.76001
7/31/2015,539.090027,542.840027,534.52002,536.150024,536.150024,3025600,-0.609986
8/3/2015,537.450012,540.440002,529.359985,535.030029,535.030029,3014200,-1.119995
8/4/2015,529.690002,536.950012,529.159973,531.900024,531.900024,2934600,-3.130005
8/5/2015,538.799988,539.140015,534.119995,537.01001,537.01001,2889400,5.109986
8/6/2015,539.299988,542.73999,527.52002,529.460022,529.460022,3820500,-7.549988
8/7/2015,529.159973,529.460022,518.210022,522.619995,522.619995,3969200,-6.840027
8/10/2015,528.52002,532.280029,523,524,524,2615900,1.380005
8/11/2015,523.650024,528.97998,522,527.460022,527.460022,2657900,3.460022
8/12/2015,523.75,527.5,513.059998,525.909973,525.909973,3962300,-1.550049
8/13/2015,527.369995,534.659973,525.48999,529.659973,529.659973,2895200,3.75
8/14/2015,528.25,534.109985,528.25,531.52002,531.52002,1983200,1.860047
8/17/2015,531.289978,538.73999,527.119995,535.219971,535.219971,2581700,3.699951
8/18/2015,535.039978,539.48999,533,535.02002,535.02002,2071300,-0.199951
8/19/2015,533.73999,537.25,529,532.919983,532.919983,2324000,-2.100037
8/20/2015,530.390015,533.25,515.77002,515.780029,515.780029,4408000,-17.139954
8/21/2015,507.359985,512.330017,494.470001,494.470001,494.470001,6706500,-21.310028
8/24/2015,463.579987,476.579987,451,463.369995,463.369995,10097600,-31.100006
8/25/2015,487.48999,489.440002,466.25,466.369995,466.369995,5679300,3
8/26/2015,484.019989,503.720001,478.76001,500.769989,500.769989,6358600,34.399994
8/27/2015,513.710022,522.690002,507.26001,518.369995,518.369995,6114500,17.600006
8/28/2015,517.5,521.5,513.039978,518.01001,518.01001,2746700,-0.359985
8/31/2015,516.440002,519.409973,509.070007,512.890015,512.890015,2983000,-5.119995
9/1/2015,499.140015,510,493.429993,496.540009,496.540009,3864500,-16.350006
9/2/2015,505.089996,510.859985,497.720001,510.549988,510.549988,3707100,14.009979
9/3/2015,514.5,515.840027,502.570007,504.720001,504.720001,3149700,-5.829987
9/4/2015,497.649994,502.850006,495.640015,499,499,2692500,-5.720001
9/8/2015,508.690002,518.349976,508.51001,517.539978,517.539978,3810700,18.539978
9/9/2015,524,529.950012,515.059998,516.890015,516.890015,4338700,-0.649963
9/10/2015,515.150024,526.130005,514.780029,522.23999,522.23999,2576000,5.349975
9/11/2015,521.070007,529.440002,520.609985,529.440002,529.440002,3227900,7.200012
9/14/2015,529.440002,532.450012,518.580017,521.380005,521.380005,3130200,-8.059997
9/15/2015,523.25,527.919983,517.200012,522.369995,522.369995,2845600,0.98999
9/16/2015,521.97998,528.299988,518.52002,527.390015,527.390015,2252800,5.02002
9/17/2015,526.97998,546.969971,526.570007,538.869995,538.869995,4169500,11.47998
9/18/2015,534.619995,546.23999,531.349976,540.26001,540.26001,6125600,1.390015
9/21/2015,544.330017,549.780029,539.590027,548.390015,548.390015,3283300,8.130005
9/22/2015,539.710022,543.549988,532.659973,538.400024,538.400024,3841700,-9.989991
9/23/2015,538.299988,541.210022,534,536.070007,536.070007,2237600,-2.330017
9/24/2015,530.549988,534.559998,522.869995,533.75,533.75,3501000,-2.320007
9/25/2015,542.570007,542.799988,521.400024,524.25,524.25,4031000,-9.5
9/28/2015,520.02002,520.280029,494.329987,504.059998,504.059998,5434500,-20.190002
9/29/2015,506,511.480011,490.5,496.070007,496.070007,4457500,-7.989991
9/30/2015,505.440002,512.799988,501.670013,511.890015,511.890015,3990400,15.820008
10/1/2015,511,520.799988,506,520.719971,520.719971,3768500,8.829956
10/2/2015,512.98999,532.599976,508.100006,532.539978,532.539978,4597800,11.820007
10/5/2015,536.98999,545.909973,536,543.679993,543.679993,3391400,11.140015
10/6/2015,545.5,551.5,533.330017,537.47998,537.47998,4502800,-6.200013
10/7/2015,541.789978,542,529,541.940002,541.940002,3812100,4.460022
10/8/2015,536.710022,539.390015,519.890015,533.159973,533.159973,4676400,-8.780029
10/9/2015,534.47998,541.789978,530.27002,539.799988,539.799988,3537400,6.640015
10/12/2015,539.960022,550.820007,539.799988,550.190002,550.190002,2776100,10.390014
10/13/2015,546.26001,553.200012,543.099976,548.900024,548.900024,2938000,-1.289978
10/14/2015,551.340027,552.25,539.679993,544.830017,544.830017,3582100,-4.070007
10/15/2015,547.75,563,547,562.440002,562.440002,4937000,17.609985
10/16/2015,565.27002,570.940002,560.309998,570.76001,570.76001,4315800,8.320008
10/19/2015,570.76001,579,567.380005,573.150024,573.150024,4375400,2.390014
10/20/2015,572,573,555.280029,560.880005,560.880005,4327900,-12.270019
10/21/2015,563.869995,565.25,552.52002,555.77002,555.77002,3343600,-5.109985
10/22/2015,562.700012,569.150024,556.669983,563.909973,563.909973,7779400,8.139953
10/23/2015,617.679993,619.450012,595.359985,599.030029,599.030029,10692700,35.120056
10/26/2015,602.299988,609.849976,596.289978,608.609985,608.609985,4269700,9.579956
10/27/2015,608.599976,614.710022,605.530029,611.01001,611.01001,3787100,2.400025
10/28/2015,612.299988,617.22998,609.5,617.099976,617.099976,3926200,6.089966
10/29/2015,617.700012,627.539978,615.390015,626.549988,626.549988,3858600,9.450012
10/30/2015,626.01001,630.719971,625.280029,625.900024,625.900024,3874400,-0.649964
11/2/2015,627.130005,628.630005,620.409973,628.349976,628.349976,2816500,2.449952
11/3/2015,629.530029,629.890015,622,625.309998,625.309998,3246900,-3.039978
11/4/2015,627.76001,645.929993,627.349976,640.950012,640.950012,4831800,15.640014
11/5/2015,647.099976,657,643.090027,655.650024,655.650024,4723800,14.700012
11/6/2015,655,662.26001,652,659.369995,659.369995,4092200,3.719971
11/9/2015,658.650024,661.960022,647.849976,655.48999,655.48999,4048800,-3.880005
11/10/2015,651.01001,660,647.26001,659.679993,659.679993,3489500,4.190003
11/11/2015,663.25,675.960022,663.25,673.25,673.25,5387300,13.570007
11/12/2015,673,675.640015,664.219971,665.599976,665.599976,4284700,-7.650024
11/13/2015,663.570007,667,640.450012,642.349976,642.349976,6261100,-23.25
11/16/2015,640.919983,649.98999,622.289978,647.809998,647.809998,7435900,5.460022
11/17/2015,650.650024,653.25,641,643.299988,643.299988,4320200,-4.51001
11/18/2015,646.51001,664.880005,646.369995,663.539978,663.539978,4469800,20.23999
11/19/2015,664.98999,672.859985,659,661.27002,661.27002,4705200,-2.269958
11/20/2015,667.940002,668.869995,657.570007,668.450012,668.450012,3896100,7.179992
11/23/2015,671.5,682.77002,670.119995,678.98999,678.98999,4385100,10.539978
11/24/2015,674.140015,675.799988,661.210022,671.150024,671.150024,4543400,-7.839966
11/25/2015,675,679.700012,671.23999,675.340027,675.340027,2697900,4.190003
11/27/2015,680.799988,680.98999,672.099976,673.26001,673.26001,1966800,-2.080017
11/30/2015,675.900024,681.289978,664.599976,664.799988,664.799988,5693200,-8.460022
12/1/2015,673.75,681,667.859985,679.059998,679.059998,4751200,14.26001
12/2/2015,681,684.820007,674.25,676.01001,676.01001,4273500,-3.049988
12/3/2015,679.440002,682.789978,661.47998,666.25,666.25,5064700,-9.76001
12/4/2015,666,674.780029,661.400024,672.640015,672.640015,4534800,6.390015
12/7/2015,674.73999,675.460022,660.5,669.830017,669.830017,3732800,-2.809998
12/8/2015,663.130005,679.98999,659.789978,677.330017,677.330017,3651900,7.5
12/9/2015,678,679,655.679993,664.789978,664.789978,5158200,-12.540039
12/10/2015,665.590027,668.530029,659.559998,662.320007,662.320007,3440200,-2.469971
12/11/2015,651.22998,657.880005,639.619995,640.150024,640.150024,5474400,-22.169983
