Date,Open,High,Low,Close,Adj Close,Volume,pos,neg,neu
4/24/2015,563.00177,568.01416,554.200195,561.9674679999999,561.9674679999999,4932500,0.3333333333333333,0.3333333333333333,0.3333333333333333
4/27/2015,563.3900150000001,565.950012,553.200012,555.369995,555.369995,2398000,0.0,0.0,1.0
4/28/2015,554.6400150000001,556.02002,550.366028,553.679993,553.679993,1491000,0.3333333333333333,0.3333333333333333,0.3333333333333333
4/29/2015,550.469971,553.679993,546.905029,549.080017,549.080017,1698800,0.0,0.0,1.0
4/30/2015,547.869995,548.590027,535.049988,537.340027,537.340027,2082200,0.3333333333333333,0.0,0.6666666666666666
5/1/2015,538.429993,539.539978,532.099976,537.900024,537.900024,1768200,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/4/2015,538.530029,544.070007,535.0599980000001,540.780029,540.780029,1308000,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/5/2015,538.210022,539.73999,530.390991,530.799988,530.799988,1383100,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/6/2015,531.23999,532.380005,521.085022,524.219971,524.219971,1567000,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/7/2015,523.98999,533.460022,521.75,530.700012,530.700012,1546300,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/8/2015,536.650024,541.150024,525.0,538.219971,538.219971,1527600,0.3333333333333333,0.3333333333333333,0.3333333333333333
5/11/2015,538.369995,541.97998,535.400024,535.700012,535.700012,905300,0.0,0.42857142857142855,0.5714285714285714
5/12/2015,531.599976,533.208984,525.26001,529.039978,529.039978,1634200,0.25,0.0,0.75
5/13/2015,530.5599980000001,534.322021,528.655029,529.619995,529.619995,1252300,0.25,0.25,0.5
5/14/2015,533.77002,539.0,532.409973,538.400024,538.400024,1403900,0.0,0.0,1.0
5/15/2015,539.179993,539.273987,530.380005,533.849976,533.849976,1971300,0.4,0.0,0.6
5/18/2015,532.01001,534.820007,528.849976,532.299988,532.299988,1998600,0.3333333333333333,0.0,0.6666666666666666
